id,x1,y1,x2,y2,x3,y3,x4,y4
ID-1,1003,583,1016,624,1086,593,1067,557
ID-2,963,620,994,607,960,519,917,535
ID-3,985,671,968,640,883,683,899,718
ID-4,1039,653,1004,660,1020,784,1059,781
